,Name,Education,Undergraduate,Master's
0,Neil Shen,"Bachelor of Arts/Science, Shanghai Jiaotong University; Master of Arts, Yale University","Bachelor of Arts/Science, Shanghai Jiaotong University","Master of Arts, Yale University"
1,Bill Gurley,"Bachelor of Arts/Science, University of Florida; Master of Business Administration, Red McCombs School of Business","Bachelor of Arts/Science, University of Florida","Master of Business Administration, Red McCombs School of Business"
2,Jim Goetz,"Bachelor of Arts/Science, University of Cincinnati; Master of Science, Stanford University","Bachelor of Arts/Science, University of Cincinnati","Master of Science, Stanford University"
3,Carl Gordon,"Bachelor of Arts/Science, Harvard University; Ph.D, Massachusetts Institute of Technology","Bachelor of Arts/Science, Harvard University","Ph.D, Massachusetts Institute of Technology"
4,Robert Nelsen,"Bachelor of Arts/Science, University of Puget Sound; Master of Business Administration, University of Chicago","Bachelor of Arts/Science, University of Puget Sound","Master of Business Administration, University of Chicago"
5,Mary Meeker,"Bachelor of Arts/Science, DePauw University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management","Bachelor of Arts/Science, DePauw University","Master of Business Administration, Cornell University"
6,Peter Fenton,"Bachelor of Arts/Science, Stanford University; Master of Business Administration, Stanford Graduate School of Business","Bachelor of Arts/Science, Stanford University","Master of Business Administration, Stanford University"
7,JP Gan,"Bachelor of Arts/Science, University of Iowa; Master of Business Administration, University of Chicago","Bachelor of Arts/Science, University of Iowa","Master of Business Administration, University of Chicago"
8,Douglas Leone,"Bachelor of Arts/Science, Cornell University; Master of Science, Columbia University; Master of Business Administration, Sloan School of Management","Bachelor of Arts/Science, Cornell University","Master of Business Administration, Massachusetts Institute of Technology"
9,Brian Singerman,"Bachelor of Arts/Science, Stanford University","Bachelor of Arts/Science, Stanford University",N/A
10,Eric Paley,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Harvard Business School","Bachelor of Arts/Science, Dartmouth College","Master of Business Administration, Harvard University"
11,Mike Maples Jr,"Bachelor of Arts/Science, Stanford University; Master of Business Administration, Harvard Business School","Bachelor of Arts/Science, Stanford University","Master of Business Administration, Harvard University"
12,Kui Zhou,"Bachelor of Arts/Science, Wuhan University of Technology; Master of Business Administration, Tsinghua University","Bachelor of Arts/Science, Wuhan University of Technology","Master of Business Administration, Tsinghua University"
13,Roelof Botha,"Bachelor of Arts/Science, University of Cape Town; Master of Business Administration, Stanford University","Bachelor of Arts/Science, University of Cape Town","Master of Business Administration, Stanford University"
14,Byron Deeter,"Bachelor of Arts/Science, University of California, Berkeley","Bachelor of Arts/Science, University of California Berkeley",N/A
15,Scott Sandell,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Stanford Graduate School of Business","Bachelor of Arts/Science, Dartmouth College","Master of Business Administration, Stanford University"
16,Rob Hayes,"Bachelor of Arts/Science, University of California, Berkeley; Master of Business Administration, Columbia Business School","Bachelor of Arts/Science, University of California Berkeley","Master of Business Administration, Columbia University"
17,Dennis Phelps,"Bachelor of Arts/Science, Dartmouth College","Bachelor of Arts/Science, Dartmouth College",N/A
18,Josh Kopelman,"Bachelor of Arts/Science, University of Pennsylvania","Bachelor of Arts/Science, University of Pennsylvania",N/A
19,Hans Tung,"Bachelor of Arts/Science, Stanford University; Entrepreneurship, MIT Sloan School of Management","Bachelor of Arts/Science, Stanford University","Entrepreneurship, Massachusetts Institute of Technology"
20,Neeraj Agrawal,"Bachelor of Arts/Science, Cornell University; Master of Business Administration, Harvard Business School","Bachelor of Arts/Science, Cornell University","Master of Business Administration, Harvard University"
21,Joe Lonsdale,"Bachelor of Arts/Science, Stanford University","Bachelor of Arts/Science, Stanford University",N/A
22,Xiaojun Li,"Bachelor of Arts/Science, University of Science and Technology of China; Master of Business Administration, Wharton School","Bachelor of Arts/Science, University of Science and Technology of China","Master of Business Administration, University of Pennsylvania"
23,Xiao Ping Xu,"Bachelor of Arts/Science, Central Conservatory of Music; Master of Arts, University of Saskatchewan","Bachelor of Arts/Science, Central Conservatory of Music","Master of Arts, University of Saskatchewan"
24,Jeff Jordan,"Bachelor of Arts/Science, Amherst College; Master of Business Administration, Stanford Graduate School of Business","Bachelor of Arts/Science, Amherst College","Master of Business Administration, Stanford University"
25,Tony Florence,"Bachelor of Arts/Science, Economics; Master of Business Administration, Tuck School of Business at Dartmouth","Bachelor of Arts/Science, Dartmouth College","Master of Business Administration, Dartmouth College"
26,Steve Anderson,"Bachelor of Arts/Science, University of Washington; Master of Business Administration, Stanford Graduate School of Business","Bachelor of Arts/Science, University of Washington","Master of Business Administration, Stanford University"
27,Bryan Roberts,"Bachelor of Arts/Science, Dartmouth College; Doctorate, Harvard University","Bachelor of Arts/Science, Dartmouth College","Doctorate, Harvard University"
28,John Doerr,"Bachelor of Arts/Science, Rice University; Master of Business Administration, Harvard University; Master of Science, Rice University","Bachelor of Arts/Science, Rice University","Master of Science, Rice University"
29,Sameer Gandhi,"Bachelor of Arts/Science, Massachusetts Institute of Technology","Bachelor of Arts/Science, Massachusetts Institute of Technology","Master of Business Administration, Stanford University"
30,Rebecca Lynn,"Bachelor of Arts/Science, University of Missouri; Doctor of Jurisprudence, University of California, Berkeley; Master of Business Administration, Haas School of Business","Bachelor of Arts/Science, University of Missouri","Master of Business Administration, University of California Berkeley"
31,Alfred Lin,"Bachelor of Arts/Science, Harvard University; Master of Science, Stanford University","Bachelor of Arts/Science, Harvard University","Master of Science, Stanford University"
32,Anton Levy,"Bachelor of Arts/Science, University of Virginia; Master of Business Administration, Columbia Business School","Bachelor of Arts/Science, University of Virginia","Master of Business Administration, Columbia University"
33,Scott Shleifer,"Bachelor of Arts/Science, Wharton School","Bachelor of Arts/Science, University of Pennsylvania",N/A
34,Vinod Khosla,"Bachelor of Arts/Science, Indian Institute of Technology; Master of Science, Carnegie Mellon University; Master of Business Administration, Stanford Graduate School of Business","Bachelor of Arts/Science, Indian Institute of Technology","Master of Business Administration, Stanford University"
35,Deven Parekh,"Bachelor of Arts/Science, Wharton School","Bachelor of Arts/Science, University of Pennsylvania",N/A
36,Shailendra Singh,"Bachelor of Technology, Indian Institute of Technology, Bombay; Master of Business Administration, Harvard Business School","Bachelor of Technology, Indian Institute of Technology Bombay","Master of Business Administration, Harvard University"
37,Marc Andreessen,"Bachelor of Arts/Science, University of Illinois, Urbana-Champaign","Bachelor of Arts/Science, University of Illinois Urbana-Champaign","Bachelor of Arts/Science, University of Illinois Urbana-Champaign"
38,Jeremy Liew,"Bachelor of Arts/Science, Australian National University; Master of Business Administration, Stanford Graduate School of Business","Bachelor of Arts/Science, Australian National University","Master of Business Administration, Stanford University"
39,Mitch Lasky,"Bachelor of Arts/Science, Harvard University; Doctor of Jurisprudence, University of Virginia","Bachelor of Arts/Science, Harvard University","Doctor of Jurisprudence, University of Virginia"
40,Jeremy Levine,"Bachelor of Arts/Science, Duke University","Bachelor of Arts/Science, Duke University","Bachelor of Arts/Science, Duke University"
41,Allen Zhu,"Bachelor of Arts/Science, Shanghai Jiaotong University; Master of Arts, Fudan University","Bachelor of Arts/Science, Shanghai Jiaotong University","Master of Arts, Fudan University"
42,Lee Fixel,"Bachelor of Arts/Science, Washington University","Bachelor of Arts/Science, Washington University",London School of Economics and Political Science
43,Jim Tananbaum,"Bachelor of Arts/Science, Yale University; Medical Doctor, Harvard University; Master of Business Administration, Harvard Business School; Master of Science, Massachusetts Institute of Technology","Bachelor of Arts/Science, Yale University","Master of Science, Massachusetts Institute of Technology"
44,Ryan Sweeney,"Bachelor of Arts/Science, Notre Dame University; Master of Business Administration, Harvard Business School","Bachelor of Arts/Science, Notre Dame University","Master of Business Administration, Harvard University"
45,Ravi Mhatre,"Bachelor of Arts/Science, Stanford University; Master of Business Administration, Stanford Graduate School of Business","Bachelor of Arts/Science, Stanford University","Master of Business Administration, Stanford University"
46,Hemant Taneja,"Bachelor of Science, Massachusetts Institute of Technology; Sloan School of Management/Master of Science, Massachusetts Institute of Technology","Bachelor of Arts/Science, Massachusetts Institute of Technology","Sloan School of Management/Master of Science, Massachusetts Institute of Technology"
47,Jonathan Silverstein,"Bachelor of Arts/Science, Denison University; Master of Business Administration, University of San Diego; Doctor of Jurisprudence, University of San Diego School of Law","Bachelor of Arts/Science, Denison University","Doctor of Jurisprudence, University of San Diego "
48,David Cowan,"Bachelor of Arts/Science, Harvard University; Master of Business Administration, Harvard Business School","Bachelor of Arts/Science, Harvard University","Master of Business Administration, Harvard University"
49,Matt Cohler,"Bachelor of Arts/Science, Yale University","Bachelor of Arts/Science, Yale University",N/A
50,Andrew Braccia,"Bachelor of Arts/Science, University of Arizona","Bachelor of Arts/Science, University of Arizona",N/A
51,Yuri Milner,"Bachelor of Arts/Science, Moscow State University; Drop Out, Wharton School","Bachelor of Arts/Science, Moscow State University","Drop Out, University of Pennsylvania"
52,Aydin Senkut,"Bachelor of Arts/Science, Boston University; Master of Business Administration, University of Pennsylvania Wharton School; Master of Arts, University of Pennsylvania","Bachelor of Arts/Science, Boston University","Master of Arts, University of Pennsylvania"
53,Jeff Horing,"Bachelor of Arts/Science, University of Pennsylvania; Master of Business Administration, MIT Sloan School of Management","Bachelor of Arts/Science, University of Pennsylvania","Master of Business Administration, Massachusetts Institute of Technology"
54,Ann Miura Ko,"Bachelor of Arts/Science, Yale University; Ph.D, Stanford University","Bachelor of Arts/Science, Yale University","Ph.D, Stanford University"
55,Gaurav Garg,"Bachelor of Arts/Science, Washington University; Master of Science, Washington University","Bachelor of Arts/Science, Washington University","Master of Science, Washington University"
56,Jim Breyer,"Bachelor of Arts/Science, Stanford University; Master of Business Administration, Harvard Business School","Bachelor of Arts/Science, Stanford University","Master of Business Administration, Harvard University"
57,David Weiden,"Bachelor of Arts/Science, Harvard University","Bachelor of Arts/Science, Harvard University",N/A
58,James Mi,"Bachelor of Arts/Science, Fudan University; Master of Arts/Science, Princeton University","Bachelor of Arts/Science, Fudan University","Master of Arts/Science, Princeton University"
59,Frank Rotman,"Bachelor of Science, University of Virginia; Master of Science, University of Virginia","Bachelor of Arts/Science, University of Virginia","Master of Science, University of Virginia"
60,Erhai Liu,"Master of Science, Peking University; Master of Business Administration, Fordham University","Master of Science, Peking University","Master of Business Administration, Fordham University"
61,Beth Seidenberg,"Bachelor of Arts/Science, Barnard College; Medical Doctor, University of Miami","Bachelor of Arts/Science, Barnard College","Medical Doctor, University of Miami"
62,Fred Wilson,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Business Administration, Wharton School","Bachelor of Arts/Science, Massachusetts Institute of Technology","Master of Business Administration, University of Pennsylvania"
63,Hurst Lin,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Stanford Graduate School of Business","Bachelor of Arts/Science, Dartmouth College","Master of Business Administration, Stanford University"
64,Jeff Lieberman,"Bachelor of Arts/Science, University of Pennsylvania; Master of Business Administration, Wharton School","Bachelor of Arts/Science, University of Pennsylvania","Master of Business Administration, University of Pennsylvania"
65,Klaus Hommels,"Master of Business Administration, University of Fribourg; Ph.D, University of Fribourg","Master of Business Administration, University of Fribourg","Ph.D, University of Fribourg"
66,Peter Thiel,"Bachelor of Arts/Science, Stanford University; Doctor of Jurisprudence, Stanford University","Bachelor of Arts/Science, Stanford University","Doctor of Jurisprudence, Stanford University"
67,Ben Horowitz,"Bachelor of Arts/Science, Columbia University; Master of Science, University of California, Los Angeles","Bachelor of Arts/Science, Columbia University","Master of Science, University of California Los Angeles"
68,Joel Cutler,"Bachelor of Arts/Science, Colby College; Doctor of Jurisprudence, Boston College","Bachelor of Arts/Science, Colby College","Doctor of Jurisprudence, Boston College"
69,Bryan Schreier,"Bachelor of Arts/Science, Princeton University","Bachelor of Arts/Science, Princeton University",N/A
70,Todd Chaffee,"Bachelor of Arts/Science, University of Minnesota","Bachelor of Arts/Science, University of Minnesota",N/A
71,Kevin Comolli,"Bachelor of Arts/Science, Northwestern University; Master of Business Administration, Harvard Business School","Bachelor of Arts/Science, Northwestern University","Master of Business Administration, Harvard University"
72,Yi Cao,"Bachelor of Arts/Science, Tsinghua University; EMBA, Tsinghua University","Bachelor of Arts/Science, Tsinghua University","EMBA, Tsinghua University"
