,Name,Education,Notable_Deal,Undergraduate,Master's
0,Neil Shen,"Bachelor of Arts/Science, Shanghai Jiaotong University; Master of Arts, Yale University","venture capital, Self Made","Bachelor of Arts/Science, Shanghai Jiaotong University","Master of Arts, Yale University"
1,Bill Gurley,"Master of Business Administration, Red McCombs School of Business; Bachelor of Arts/Science, University of Florida",Uber,"Master of Business Administration, Red McCombs School of Business","Bachelor of Arts/Science, University of Florida"
2,Jim Goetz,"Bachelor of Arts/Science, University of Cincinnati; Master of Science, Stanford University",WhatsApp,"Bachelor of Arts/Science, University of Cincinnati","Master of Science, Stanford University"
3,Carl Gordon,"Bachelor of Arts/Science, Harvard University; Ph.D, Massachusetts Institute of Technology",Acerta,"Bachelor of Arts/Science, Harvard University","Ph.D, Massachusetts Institute of Technology"
4,Robert Nelsen,"Bachelor of Arts/Science, University of Puget Sound; Master of Business Administration, University of Chicago",Juno Therapeutics,"Bachelor of Arts/Science, University of Puget Sound","Master of Business Administration, University of Chicago"
5,Mary Meeker,"Bachelor of Arts/Science, DePauw University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management",Spotify,"Bachelor of Arts/Science, DePauw University","Master of Business Administration, Samuel Curtis Johnson Graduate School of Management"
6,Peter Fenton,"Bachelor of Arts/Science, Stanford University; Master of Business Administration, Stanford Graduate School of Business",Docker,"Bachelor of Arts/Science, Stanford University","Master of Business Administration, Stanford Graduate School of Business"
7,Jp Gan,"Master of Business Administration, University of Chicago; Bachelor of Arts/Science, University of Iowa",Meitu,"Master of Business Administration, University of Chicago","Bachelor of Arts/Science, University of Iowa"
8,Douglas Leone,"Bachelor of Arts/Science, Cornell University; Master of Science, Columbia University; Master of Business Administration, Sloan School of Management","venture capital, Self Made","Bachelor of Arts/Science, Cornell University","Master of Business Administration, Sloan School of Management"
9,Brian Singerman,"Bachelor of Arts/Science, Stanford University",Stemcentrx,"Bachelor of Arts/Science, Stanford University","Bachelor of Arts/Science, Stanford University"
10,Eric Paley,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Dartmouth College",Uber,"Master of Business Administration, Harvard Business School","Bachelor of Arts/Science, Dartmouth College"
11,Mike Maples Jr,"Bachelor of Arts/Science, Stanford University; Master of Business Administration, Harvard Business School",Okta,"Bachelor of Arts/Science, Stanford University","Master of Business Administration, Harvard Business School"
12,Kui Zhou,"Bachelor of Arts/Science, Wuhan University of Technology; Master of Business Administration, Tsinghua University",New Dada,"Bachelor of Arts/Science, Wuhan University of Technology","Master of Business Administration, Tsinghua University"
13,Roelof Botha,"Bachelor of Arts/Science, University of Cape Town; Master of Business Administration, Stanford University",Square,"Bachelor of Arts/Science, University of Cape Town","Master of Business Administration, Stanford University"
14,Byron Deeter,"Bachelor of Arts/Science, University of California, Berkeley",Twilio,"Bachelor of Arts/Science, University of California, Berkeley","Bachelor of Arts/Science, University of California, Berkeley"
15,Scott Sandell,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Stanford Graduate School of Business",MuleSoft,"Bachelor of Arts/Science, Dartmouth College","Master of Business Administration, Stanford Graduate School of Business"
16,Rob Hayes,"Bachelor of Arts/Science, University of California, Berkeley; Master of Business Administration, Columbia Business School",Uber,"Bachelor of Arts/Science, University of California, Berkeley","Master of Business Administration, Columbia Business School"
17,Dennis Phelps,"Bachelor of Arts/Science, Dartmouth College",Snap,"Bachelor of Arts/Science, Dartmouth College","Bachelor of Arts/Science, Dartmouth College"
18,Josh Kopelman,"Bachelor of Arts/Science, University of Pennsylvania",Flatiron Health,"Bachelor of Arts/Science, University of Pennsylvania","Bachelor of Arts/Science, University of Pennsylvania"
19,Hans Tung,"Bachelor of Arts/Science, Stanford University",Musical.ly,"Bachelor of Arts/Science, Stanford University","Bachelor of Arts/Science, Stanford University"
20,Neeraj Agrawal,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Cornell University",Coupa,"Master of Business Administration, Harvard Business School","Bachelor of Arts/Science, Cornell University"
21,Joe Lonsdale,"Bachelor of Arts/Science, Stanford University","tech investments, Self Made","Bachelor of Arts/Science, Stanford University","Bachelor of Arts/Science, Stanford University"
22,Xiaojun Li,"Master of Business Administration, Wharton School; Master of Science, University of California, Los Angeles; Bachelor of Arts/Science, University of Science and Technology of China",Xiaomi,"Master of Business Administration, Wharton School","Bachelor of Arts/Science, University of Science and Technology of China"
23,Xiao Ping Xu,"Master of Arts, University of Saskatchewan; Bachelor of Arts/Science, Central Conservatory of Music",Meicai,"Master of Arts, University of Saskatchewan","Bachelor of Arts/Science, Central Conservatory of Music"
24,Jeff Jordan,"Bachelor of Arts/Science, Amherst College; Master of Business Administration, Stanford Graduate School of Business",Airbnb,"Bachelor of Arts/Science, Amherst College","Master of Business Administration, Stanford Graduate School of Business"
25,Tony Florence,United States,Jet.com,United States,United States
26,Steve Anderson,"Bachelor of Arts/Science, University of Washington; Master of Business Administration, Stanford Graduate School of Business",Stitch Fix,"Bachelor of Arts/Science, University of Washington","Master of Business Administration, Stanford Graduate School of Business"
